rental_id,duration,duration_ms,bike_id,bike_model,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
57971301,3840,3840000,2001,,2016-09-03 16:41:00.000000 UTC,,"Hyde Park Corner, Hyde Park",2016-09-03 15:37:00.000000 UTC,,"Hyde Park Corner, Hyde Park",1075,1075,1
58032521,3840,3840000,8062,,2016-09-05 20:39:00.000000 UTC,,"Granby Street, Shoreditch",2016-09-05 19:35:00.000000 UTC,,"Granby Street, Shoreditch",22174,22174,0
57988193,3840,3840000,8582,,2016-09-04 14:34:00.000000 UTC,,"Kensington Town Hall, Kensington",2016-09-04 13:30:00.000000 UTC,,"Kensington Town Hall, Kensington",10632,10632,0
57988885,7680,7680000,8277,,2016-09-04 15:53:00.000000 UTC,,"Panton Street, West End",2016-09-04 13:45:00.000000 UTC,,"Lambeth Palace Road, Waterloo",3452,300231,0
57873796,7680,7680000,661,,2016-09-01 00:24:00.000000 UTC,,"Park Lane , Hyde Park",2016-08-31 22:16:00.000000 UTC,,"Park Lane , Hyde Park",1037,1037,0
57907392,2820,2820000,6197,,2016-09-01 19:20:00.000000 UTC,,"Hartington Road, Stockwell",2016-09-01 18:33:00.000000 UTC,,"Eagle Wharf Road, Hoxton",200207,200246,0
57951144,2820,2820000,13324,,2016-09-02 22:36:00.000000 UTC,,"Belvedere Road, South Bank",2016-09-02 21:49:00.000000 UTC,,"Archbishop's Park, Waterloo",1186,300025,0
57850314,2820,2820000,8648,,2016-08-31 13:45:00.000000 UTC,,"Rampayne Street, Pimlico",2016-08-31 12:58:00.000000 UTC,,"Kensington Town Hall, Kensington",1106,10632,0
57927551,2820,2820000,1176,,2016-09-02 10:37:00.000000 UTC,,"Bayley Street , Bloomsbury",2016-09-02 09:50:00.000000 UTC,,"Craven Street, Strand",1006,1160,0
57970453,2820,2820000,11722,,2016-09-03 16:05:00.000000 UTC,,"Harriet Street, Knightsbridge",2016-09-03 15:18:00.000000 UTC,,"Harriet Street, Knightsbridge",2681,2681,0
58003594,2820,2820000,7746,,2016-09-04 20:58:00.000000 UTC,,"Hop Exchange, The Borough",2016-09-04 20:11:00.000000 UTC,,"Regent's Row , Haggerston",960,200064,1
57942753,1800,1800000,8057,,2016-09-02 18:06:00.000000 UTC,,"Black Lion Gate, Kensington Gardens",2016-09-02 17:36:00.000000 UTC,,"Park Lane , Hyde Park",1157,1037,1
57848814,1800,1800000,9724,,2016-08-31 12:37:00.000000 UTC,,"Ranelagh Gardens, Fulham",2016-08-31 12:07:00.000000 UTC,,"Parson's Green , Parson's Green",300064,200237,0
57974583,1800,1800000,830,,2016-09-03 17:57:00.000000 UTC,,"Porchester Place, Paddington",2016-09-03 17:27:00.000000 UTC,,"Albert Gate, Hyde Park",3477,1132,0
57849990,1800,1800000,842,,2016-08-31 13:17:00.000000 UTC,,"The Tennis Courts, The Regent's Park",2016-08-31 12:47:00.000000 UTC,,"The Tennis Courts, The Regent's Park",1199,1199,0
57915686,1800,1800000,581,,2016-09-01 22:59:00.000000 UTC,,"Great Titchfield Street, Fitzrovia",2016-09-01 22:29:00.000000 UTC,,"Palace Gardens Terrace, Notting Hill",3450,2633,0
57873151,1800,1800000,11275,,2016-08-31 22:10:00.000000 UTC,,"Kensington Olympia Station, Olympia",2016-08-31 21:40:00.000000 UTC,,"Kensington Olympia Station, Olympia",1214,1214,0
57906350,1800,1800000,6481,,2016-09-01 18:50:00.000000 UTC,,"Woodstock Grove, Shepherd's Bush",2016-09-01 18:20:00.000000 UTC,,"Hyde Park Corner, Hyde Park",200214,1075,0
58022197,1800,1800000,2720,,2016-09-05 17:15:00.000000 UTC,,"Kensington Gore, Knightsbridge",2016-09-05 16:45:00.000000 UTC,,"Vincent Street, Pimlico",1193,22161,1
57901769,1800,1800000,9206,,2016-09-01 18:00:00.000000 UTC,,"Richmond Way, Shepherd's Bush",2016-09-01 17:30:00.000000 UTC,,"Bishop's Bridge Road East, Bayswater",200181,200108,0
57998197,1800,1800000,3583,,2016-09-04 17:57:00.000000 UTC,,"Park Lane , Hyde Park",2016-09-04 17:27:00.000000 UTC,,"Park Lane , Hyde Park",1037,1037,0
57935487,1800,1800000,9724,,2016-09-02 15:16:00.000000 UTC,,"Hawley Crescent, Camden Town",2016-09-02 14:46:00.000000 UTC,,"London Zoo Car Park, The Regent's Park",200122,1188,0
58031699,1800,1800000,10397,,2016-09-05 19:45:00.000000 UTC,,"Wandsworth Town Station, Wandsworth",2016-09-05 19:15:00.000000 UTC,,"Howick Place, Westminster",200091,2666,0
57984509,780,780000,4147,,2016-09-04 12:11:00.000000 UTC,,"Harcourt Terrace, West Brompton",2016-09-04 11:58:00.000000 UTC,,"Queen's Gate (North), Kensington",300069,1204,0
58012487,780,780000,14112,,2016-09-05 09:27:00.000000 UTC,,"Clarges Street, Mayfair",2016-09-05 09:14:00.000000 UTC,,"Natural History Museum, South Kensington",200088,2677,0
57865469,780,780000,3669,,2016-08-31 18:40:00.000000 UTC,,"Bethnal Green Road, Shoreditch",2016-08-31 18:27:00.000000 UTC,,"Hop Exchange, The Borough",973,960,1
57901012,780,780000,5942,,2016-09-01 17:32:00.000000 UTC,,"Waterloo Station 3, Waterloo",2016-09-01 17:19:00.000000 UTC,,"Hatton Wall, Holborn",1072,1008,1
57955116,780,780000,14038,,2016-09-03 08:05:00.000000 UTC,,"Pall Mall East, West End",2016-09-03 07:52:00.000000 UTC,,"Dorset Square, Marylebone",1153,1162,0
57842586,780,780000,10529,,2016-08-31 08:57:00.000000 UTC,,"Broadwick Street, Soho",2016-08-31 08:44:00.000000 UTC,,"Elizabeth Bridge, Victoria",3489,1138,0
57839353,780,780000,4826,,2016-08-31 08:20:00.000000 UTC,,"Cheapside, Bank",2016-08-31 08:07:00.000000 UTC,,"Belgrove Street , King's Cross",22180,1011,1
57893814,780,780000,9101,,2016-09-01 14:38:00.000000 UTC,,"Chapel Place, Marylebone",2016-09-01 14:25:00.000000 UTC,,"Park Lane, Mayfair",1003,300093,0
57900671,780,780000,11741,,2016-09-01 17:27:00.000000 UTC,,"Flood Street, Chelsea",2016-09-01 17:14:00.000000 UTC,,"Kings Gate House, Westminster",1218,300202,0
58043496,780,780000,11010,,2016-09-06 08:45:00.000000 UTC,,"Knightsbridge, Hyde Park",2016-09-06 08:32:00.000000 UTC,,"Northumberland Avenue, Strand",1101,1097,0
